状态栈		符号栈		输入		动作
0,		$,		{	移入到1
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,25,41,8,20,36,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,{,decls,type,id,;,		}	 归约6
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,25,41,6,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,{,decls,decl,		}	 归约41
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,25,41,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,{,decls,		}	 归约85
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,25,41,85,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,{,decls,stmts,		}	移入到128
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,25,41,85,128,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,{,decls,stmts,},		while	 归约26
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,26,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,block,		while	 归约27
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,27,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,stmt,		while	移入到42
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,27,42,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,stmt,while,		(	移入到86
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,27,42,86,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,stmt,while,(,		id	移入到47
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,27,42,86,47,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,stmt,while,(,id,		==	 归约57
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,27,42,86,57,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,stmt,while,(,loc,		==	 归约54
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,27,42,86,54,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,stmt,while,(,factor,		==	 归约59
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,27,42,86,59,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,stmt,while,(,unary,		==	 归约53
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,27,42,86,53,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,stmt,while,(,term,		==	 归约60
